	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S211	S212	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S226	S227	S228	S229	S230	S231	S232	S233	S234	S235	S236	S237	S238	S239	S240	S241	S242	S243	S244	S245	S246	S247	S248	S249	S250	S251	S252	S253	S254	S255	S256	S257	S258	S259	S260	S261	S262	S263	S264	S265	S266	S267	S268	S269	S270	S271	S272	S273	S274	S275	S276	S277	S278	S279	S280	S281	S282	S283	S284	S285	S286	S287	S288	S289	S290	S291	S292	S293	S294	S295	S296	S297	S298	S299	S300	S301	S302	S303	S304	S305	S306	S307	S308	S309	S310	S311	S312	S313	S314	S315	S316	S317	S318	S319	S320	S321	S322	S323	S324	S325	S326	S327	S328	S329	S330	S331	S332	S333	S334	S335	S336	S337	S338	S339	S340	S341	S342	S343	S344	S345	S346	S347	S348	S349	S350	S351	S352	S353	S354	S355	S356	S357	S358	S359	S360	S361	S362	S363	S364	S365	S366	S367	S368	S369	S370	S371	S372	S373	S374	S375	S376	S377	S378	S379	S380	S381	S382	S383	S384	S385	S386	S387	S388	S389	S390	S391	S392	S393	S394	S395	S396	S397	S398	S399	S400	S401	S402	S403	S404	S405	S406	S407	S408	S409	S410	S411	S412	S413	S414	S415	S416	S417	S418	S419	S420	S421	S422	S423	S424	S425	S426	S427	S428	S429	S430	S431	S432	S433	S434	S435	S436	S437	S438	S439	S440	S441	S442	S443	S444	S445	S446	S447	S448	S449	S450	S451	S452	S453	S454	S455	S456	S457	S458	S459	S460	S461	S462	S463	S464	S465	S466	S467	S468	S469	S470	S471	S472	S473	S474	S475	S476	S477	S478	S479	S480	S481	S482	S483	S484	S485	S486	S487	S488	S489	S490	S491	S492	S493	S494	S495	S496	S497	S498	S499	S500	S501	S502	S503	S504	S505	S506	S507	S508	S509	S510	S511	S512	S513	S514	S515	S516	S517	S518	S519	S520	S521	S522	S523	S524	S525	S526	S527	S528	S529	S530	S531	S532	S533	S534	S535	S536	S537	S538	S539	S540	S541	S542	S543	S544	S545	S546	S547	S548	S549
('11', '533838', 'T')	0.000851270825733	0.000823291669785	0.000661448572373	0.000668832409708	0.00162794139411	0.00201646782053	0.0010487065952	0.00256049161439	0.00182179529646	0.00175665680473	0.000603955911218	0.00263662511985	0.000489476260401	0.00101302460203	0.00295934122491	0.0018234865062	0.00215459197414	0.000853697577633	0.00815217391304	0.0178346861781	0.00999316706525	0.0114285714286	0.0160253928931	0.0148333784882	0.015665278604	0.0147936672723																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
('7', '140496154', 'T')	0.000214546234714	0.000604960677556	0.000566251415629	0.000422341885757	0.000332032871254	0.00140322742307	0.000366770584999	0.000347433336229	0.000527495714097	0.00240802675585	0.000388953714508	0.0018611780162	0.000451875282422	0.00189090909091	0.000373227170938	0.00076464291176	0.000465766185375	0.000862880451836	0.000596445186687	0.000246335755635	0.00157306905773	0.000399002493766	0.00130123617437	0.000226628895184	0.00108513366874	0.000339289753449	0.0303183425973	0.0332072299285	0.0295060936498	0.0232018561485	0.0224519940916	0.0382965686275	0.0368207211783	0.024959178913	0.0250208507089																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
('7', '140497495', 'T')	0.00156700513978	0.00236158488586	0.00035850003585	0.000645411126888	0.00120689655172	0.00226123969141	0.000431639149671	0.00132872707946	0.000919732441472	0.000926159804664	0.000386817267523	0.000632244467861	0.00164293537788	0.000394664140816	0.000386817267523	0.000397140587768	0.00151657398715	0.00139884595209	0.000219506841297	0.000143833153542	0.000677557780622	0.000118849536487	0.000748502994012	0.000501181356054	0.000314960629921	0.000423692907381	0.000630486444541	0.0017325017325	0.000231653076353	0.000524475524476																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
('16', '2121833', 'C')	0.0014657383657	0.00756821350329	0.00313356835096	0.00214561579173	0.00509849362688	0.000903070439494	0.00678378848495	0.00151351351351	0.00164248562825	0.00134453781513	0.0434906196703	0.00322864690343	0.00236472388371	0.00503144654088	0.000778513040093	0.00237906423473	0.00286532951289	0.001569154898	0.00124875124875	0.000891089108911	0.00259615384615	0.00456621004566	0.00168728908886	0.00065274151436	0.00204678362573	0.00218818380744	0.00119311402761	0.00378708184305	0.00182356963757	0.00396825396825	0.000657732467319	0.000590144585423	0.00199203187251	0.00224502886466	0.00367579489065	0.002079002079	0.00677380794262	0.00137520055008	0.0047490694391	0.00833714024669	0.00708564386938	0.00406893250359	0.00510529674537	0.00585516178737	0.000965344145188	0.0021167754454	0.00593824228029	0.00435967302452	0.00373740656484	0.00310993624631	0.00114591291062	0.00640938224465	0.00341588385995	0.0023436091581	0.0026026026026	0.00438276113952	0.00247408105561	0.00110938540049	0.0032154340836	0.00780695528744	0.00406814136791	0.00430739109153	0.00088621056363	0.00303667367438	0.00566251415629	0.00167097068206	0.00241786374627	0.0083166486986	0.00169779286927	0.00702285871661	0.0012353304509	0.00180072028812	0.00579086697551	0.00219997800022	0.00531826491607	0.00131327602674	0.00754310344828	0.00343279640877	0.000669456066946	0.00623574144487	0.00116500741368	0.00336889387984	0.00559484851684	0.00239329876346	0.00522670848033	0.00361909070346	0.00126642393541	0.00816753926702	0.00625978090767	0.00130718954248	0.00472925041381	0.0078381795196	0.00140129619898	0.00362694300518	0.00287935502447	0.00232790156302	0.00181312703977	0.00204055605152	0.00256986829425	0.00176792028287	0.00106944722946	0.00183318056829	0.00200250312891	0.00142112742776	0.0016505054673	0.0018834925333	0.00520416333066	0.00140375504474	0.00125499144324	0.0012676279512	0.00078125	0.00613386252932	0.00711432850724	0.00669562070214	0.00693548387097	0.00647652260555	0.00270374662032	0.00316095587306	0.00399165381475	0.00795311845961	0.00992	0.0110282192669	0.00496613995485	0.00276179516686	0.00668083814151	0.00488691896806	0.00395829310678	0.00384404173531	0.003808073115																																																																																																																																																																																																																																																																																																																																																																																																																																					
('1', '190067578', 'A')	0.00157655568951	0.00656776386957	0.00292907889817	0.00408968085883	0.00050319890734	0.00551815472906	0.00672003162368	0.00465606606343	0.000684462696783	0.00183808838808	0.000443458980044	0.00278754090413	0.0207310420076	0.0104837934019	0.00481134464421	0.00167124268831	0.00253314194039	0.00629483238179	0.00848201228429	0.00404401391893	0.00461719274681	0.00234479678428	0.000737584002623	0.00157995711545	0.00692816030697	0.00181686046512	0.000367647058824	0.00409128102555	0.00268663541786	0.000244598450876	0.00392028748775	0.000978299537531	0.00199600798403	0.00118577075099	0.00189382730662	0.00248550124275	0.000492222878519	0.00137783221066	0.00282908969879	0.000358873138346	0.00131030375223	0.00659511185827	0.00210944285892	0.010562984605	0.00206089615743	0.0015625	0.00446956750362	0.00463772523379	0.000999733404425	0.00224008433259	0.000592908810625	0.00186991869919	0.00331870249438	0.00821841482101	0.00776139261559	0.00407073740407	0.000691802144587	0.0155527840951	0.00132962649583	0.00479400749064	0.00292184075968	0.00550275137569	0.000821789152383	0.000706401766004	0.00436840189297	0.000237830981449	0.00284390996994	0.00155620004244	0.000680040802448	0.00771633290465	0.00178658437551	0.00207227043129	0.00252012031542	0.00241783150737	0.000751718213058	0.0016865437899	0.00100435219284	0.000962695547533	0.0091277085483	0.00196463654224	0.000275583318023	0.00982658959538	0.000259156876296	0.00142857142857	0.0168556543059	0.00154998708344	0.00125313283208	0.00376884422111	0.000728173013908	0.0179415452879	0.00247486465584	0.000887924230466	0.00201047316252	0.000894676673791	0.011245826744	0.000703819822126	0.00318354352884	0.0012370113805	0.0015444015444	0.00454930173508	0.00110724454287	0.00234879624193	0.00186630471666	0.00303555941023	0.00633130962706	0.00372050816697	0.00033692722372	0.000636267232238	0.00221478723906	0.00469740859626	0.00225069252078	0.000679270915884	0.0375153751538	0.00233965308592	0.000541809644212	0.00537861210715	0.000728911271619	0.0260967574129	0.00778995960762	0.0278047203362	0.0122854561879	0.00102774922919	0.0012688208425	0.0052225814474	0.00325335502237	0.00337359886821	0.0340629452144	0.00463218264034	0.0017611596559	0.000263782643102	0.000417920427951	0.00177560759072	0.0050075112669	0.00464015151515	0.00106575722051	0.00116745713243	0.0279858968709	0.000309055320902	0.00200523103749	0.00146445871353	0.0106907894737	0.000566434698171	0.0131683325401	0.00129378980892	0.00887260887261	0.00301342941369	0.00158622252436	0.00124688279302	0.0191233551075	0.0274976112114	0.00294484086533	0.00498390613643	0.000462036038811	0.000547302580141	0.00518477661335	0.000373726992432	0.00365115793866	0.0403060272439	0.00716237170494	0.00626093361569	0.00450420168067	0.0008471965496	0.0013275175422	0.00626498569108	0.00221565731167	0.00197044334975	0.00195986934204	0.00162258640273	0.0342324507135	0.00358484124274	0.0134211810639	0.000506970849176	0.0135144176089	0.0312712440517	0.00212720697724	0.00193834225586	0.0087246010791	0.00187136806855	0.0323403268807	0.00158027812895	0.00121191135734	0.00351710190803	0.00623830318153	0.00655668358714	0.00897856729098	0.0142059509506	0.0107536206747	0.00482185909456	0.00106951871658	0.00924079244781	0.00666666666667	0.0263209202574	0.00104493207941	0.000275077938749	0.00342322785339	0.00336948510056	0.001501651817	0.00125470514429	0.000947388366071	0.00184544405998	0.00176404177251	0.0256893473517	0.00204970535486	0.000609310260785	0.0100531107739	0.000479692996482	0.00785687239682	0.0076003483493	0.0147879217214	0.00271923861319	0.000724900326205	0.000488519785051	0.00265871737029	0.00351104130093	0.0154912793847	0.0010852853396	0.00752718148871	0.00451856720342	0.0493905191874	0.00478959972631	0.0017095478246	0.0132162935201	0.000538647993536	0.00133226751932	0.00880142405063	0.000820075446941	0.00135303913405	0.00222441917944	0.000831452666587	0.00500474587971	0.00259700580507	0.000522602560753	0.00373103391095	0.00148872820077	0.00100009091736	0.00542005420054	0.0183229813665	0.000390046025431	0.00395576007104	0.00160717873167	0.000563803796279	0.00162978212386	0.00314285714286	0.000650971031789	0.0164653156664	0.000715819613457	0.000831847890671	0.00115975645115	0.000954603309291	0.00703446095479	0.00479800403032	0.00125496758	0.00290424532331	0.0130669444181	0.0278524090991	0.0173010380623	0.00193087468623	0.00208293883734	0.00139786825092	0.0256989787377	0.00122893258427	0.00853727945361	0.00121891760117	0.000703482237074	0.00869085391088	0.00867637134869	0.0070236522992	0.000714853057983	0.000573921028466	0.000761566287999	0.00124703828408	0.00736399158401	0.00504496600132	0.000753863550697	0.000390205833577	0.00532859680284	0.00206309636379	0.00192651713224	0.00617096611027	0.00493827160494	0.0120976452798	0.0114771695153	0.000633178556353	0.00327429677035	0.000709345628658	0.00315108158746	0.0102063456845	0.00215336762771	0.00355600711201	0.00935919055649	0.00282798475347	0.00202162257186	0.00240477852765	0.0047089469993	0.00042872454448	0.00316358812124	0.00157170923379	0.00103597664344	0.00158102766798	0.0065877251501	0.00344503601629	0.000665094624826	0.00480217889908	0.000267189169932	0.00336185819071	0.0123321123321	0.023901310717	0.0457540718637	0.0119760479042	0.0228442728443	0.0106852497096	0.00264623955432	0.0118662351672	0.00147365835687	0.00400641025641	0.0418864412038	0.0130734490135	0.00809997685721	0.0302380952381																																																																																																																																																																																																																																							
('16', '2121839', 'G')	0.0018281535649	0.00289495450786	0.00699422976045	0.00097205346294	0.000974764431929	0.00271296798698	0.0019603038471	0.00153727901614	0.00140219677495	0.00332115576221	0.00270067516879	0.00293501048218	0.0036832412523	0.00245261984392	0.00309172105806	0.00311951647495	0.00515320334262	0.00322123437701	0.00393336418325	0.00647088103534	0.00342785914615	0.00202634245187	0.00498597693986	0.00411220443531	0.00332409972299	0.00357200844293	0.00291082296904	0.00166972783436	0.0036201615149	0.00197424892704	0.0030645921735	0.00467445742905	0.00145475705557	0.00364244930104	0.00305466237942	0.00239808153477	0.00204379562044	0.0047220106626	0.00166034155598	0.00534906048553	0.000686207234585	0.00181368507832	0.00379162545335	0.0028981688842	0.00243480992774	0.00103885310617	0.00297127764939	0.00239234449761	0.00300457217505	0.00589670597804	0.00437810945274	0.00170648464164	0.00248447204969	0.00251889168766	0.00388701736201	0.000952834683182	0.00304017372421	0.00234432234432	0.00345593680573	0.00389105058366	0.00335075727114	0.00270622431593	0.00336021505376	0.00107554093382	0.0020711080428	0.00199560965875	0.00276073619632	0.00177265676933	0.00607902735562	0.0039815851686	0.00322465066284	0.00364500792393	0.00459970164097	0.00225563909774	0.00448430493274	0.00582524271845	0.00334448160535	0.00255102040816	0.00406220984215	0.0035661218425	0.00604932526757	0.00314756526569																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
('7', '6045562', 'T')	0.000419551080344	0.000631472594089	0.000526662277814	0.00021404109589	0.000745990302126	0.00114916111239	0.00062140748796	0.000920689201631	0.00034427358274	0.000836420121878	0.000436173306194	0.000503609199261	0.000613779346325	0.000944342796435	0.000442331084817	0.000480769230769	0.00071002556092	0.00128670019885	0.000517419799931	0.000188501413761	0.000689061154177	0.00198117880139	0.00050539083558	0.00111841185517	0.00065274151436	0.000414593698176	0.000423848544787	0.000659282700422	0.00129589632829	0.00060415659739	0.000550055005501	0.00125266190655	0.00160630841121	0.000268072558306	0.000618238021638	0.00109187334269	0.000681291729118	0.000242483026188	0.00131908719166	0.000267701780217	0.000251382604324	0.000214707461084	0.00138953219083	0.0172338250329	0.015625	0.012132894886	0.0122627737226	0.0186754279786	0.0129594221372	0.0102223104407	0.0161849710983	0.0132706890867	0.0136220472441	0.0116317713526																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
('7', '140498289', 'T')	0.00251677852349	0.0146788990826	0.00142857142857	0.00285986653956	0.00159489633174	0.00177147918512	0.00165906262961	0.00524737631184	0.00215439856373																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
('2', '198266830', 'T')	0.00145483401666	0.000982077093052	0.000882723833544	0.000224853845001	0.000593824228029	0.00169082125604	0.00116099071207	0.00289887389899	0.00396519440467	0.00225733634312	0.00296076980015	0.00115074798619	0.00251304852117	0.00108128736802	0.0025668948351	0.00191460846257	0.000705367849333	0.000590493061707	0.00242074027799	0.000700140028006	0.000744047619048	0.000581530588509	0.000525210084034	0.00218676601604	0.00052443885043	0.00033698399326	0.00238347457627	0.000456760048721	0.00362882322447	0.00108991825613	0.00179186767746	0.00121432908318	0.00204008160326	0.000831452666587	0.000481000481	0.00164894055569	0.00118076427651	0.000656383327863	0.000204060810121	0.00126903553299	0.000696240302367	0.00155207201614	0.000591424346969	0.00132714001327	0.000678886625933	0.000206932229695	0.000974975625609	0.00106280193237	0.00169279458306	0.000616734050572	0.00243783520234	0.00120789155818	0.00234009360374	0.000266951414842	0.00090991810737	0.000493875938364	0.00182346187614	0.00115506786024	0.00172051233034	0.00118667275217	0.000727046115496	0.000727499480358	0.00112254443405	0.00211989164998	0.000315457413249	0.000398591642862	0.000212607632614	0.000734214390602	0.00142112742776	0.00201193284307	0.00158704967465	0.000354924578527	0.00137981118373	0.000388613620907	0.00286347681507	0.000357621814931	0.00181065700983	0.00107700592353	0.00166830969895	0.000527565286204	0.000555000555001	0.00032630685897	0.000589027263548	0.0013357619915	0.0012829484488	0.00310581971456	0.00155245065425	0.00238115486011	0.00170478761188	0.00140915953699	0.00142857142857	0.00134721371709	0.000562520090003	0.000361663652803	0.0011681268252	0.00189693329118	0.000978314038806	0.002394106814	0.000606980273141	0.00101665754282	0.000195083886071	0.00147856086742	0.00127199491202	0.000793808295297	0.000809537827495	0.000287549122975	0.0015756893641	0.000492319810949	0.00185124686921	0.00134194414158	0.000870953694295	0.00162370610919	0.00141704817964	0.00127327709693	0.000756961340903	0.000908182726365	0.000849858356941	0.00102511532547	0.00200986661794	0.0017539756782	0.0011862396204	0.000810910431257	0.00035146296459	0.000238123586141	0.00191812024216	0.00145147912635	0.000598643075695	0.000836995187278	0.000797686708545	0.000788084167389	0.00194763038303	0.00581589678454	0.000936037441498	0.000510855683269	0.00225205716761	0.000497760079642	0.000944669365722	0.00194253338729	0.00154924983692	0.00257731958763	0.00295226130653	0.00196739741428																																																																																																																																																																																																																																																																																																																																																																																																																								
('9', '139390958', 'C')	0.00255576208178	0.00287431408414	0.00205479452055	0.00133466800133	0.00140318054256	0.00212454212454	0.00198728139905	0.0019263183241	0.0021186440678	0.000966884215615	0.00100628930818	0.00150943396226	0.00327667417571	0.00531688643131	0.00108069164265	0.00173718823675	0.0011599246049	0.00279329608939	0.00194342474628	0.000748951467945	0.00157449321	0.00207874786011	0.00156141568355	0.00210771131623	0.00117439812096	0.00169282856263	0.00158311345646	0.00220927897168	0.00179310344828	0.0015015015015	0.00206201313579	0.0016067776804	0.00130514226051	0.0018721583311	0.000721548048541	0.00124135485015	0.001924001924	0.00211588541667	0.00111731843575	0.000326957658983	0.00198976691302	0.00196565280364	0.00199501246883	0.00214630656412	0.00197748707028	0.00182260024301	0.00128081972462	0.00174733531365	0.00177646188009	0.00237191650854	0.00156956303365	0.00138861337036	0.00262180467555	0.00250341374602	0.0012233736327	0.0049710024855	0.00192864030858	0.00242494226328	0.00179399013305	0.00211463550362	0.00212361685481	0.00136071251856	0.00122734820591	0.00262180467555	0.00150437636761	0.00135562584727	0.00204098988009	0.00276647681041	0.002020882452	0.00145433391507	0.000951474785918	0.00162100826714	0.00238575885484	0.00234672924611	0.00254962666181	0.0009726443769	0.00119826712139	0.00141482739106	0.00338573155985	0.00149031296572	0.00105254635252	0.0016152189519	0.00194670884536	0.00398179749716	0.00113378684807	0.0021978021978	0.00172429440058	0.00103869124903	0.00258270815398	0.00155884645362	0.0021372088053	0.00076667518528	0.00178006329114	0.00217434275549	0.00241837968561	0.00190114068441	0.00146771037182	0.00106858364096	0.0023253355882	0.00147167034584	0.00272402780387	0.00344742674218	0.00117035110533	0.00245468277946	0.00123748453144	0.00147734734077	0.0016132018089	0.00149872167857	0.000484683986041	0.00185701021356	0.00137379792681	0.00135135135135	0.000951474785918	0.00130438833504	0.00132896252326	0.00144901285999	0.00147138542554	0.00232255140769	0.00145489815713	0.00134147159434	0.00121218799934	0.00295588904047																																																																																																																																																																																																																																																																																																																																																																																																																																												
